idCompetenciaEspecifica;idCompetenciaGeral
13;2
13;5
13;6
13;7
13;9
13;10
14;1
14;2
14;4
14;5
14;6
14;7
14;8
14;9
14;10
15;1
15;2
15;4
15;5
15;6
15;7
15;9
15;10
