id;tipo;nome
1;BNCC_AreaDeConhecimento;Linguagens e suas Tecnologias
2;BNCC_AreaDeConhecimento;Matemática e suas Tecnologias
3;BNCC_AreaDeConhecimento;Ciências da Natureza e suas Tecnologias
4;BNCC_AreaDeConhecimento;Ciências Humanas e Sociais Aplicadas
