idCompetenciaEspecifica;idCompetenciaGeral
16;1
16;3
16;4
16;5
16;6
16;7
16;9
17;1
17;2
17;5
17;6
17;9
18;2
18;3
18;6
18;7
18;10
19;1
19;5
19;6
19;10
20;1
20;9
20;10
21;1
21;6
21;9
21;10
