id;tipo;descricao
1;BNCC_CompetenciaEspecifica;Analisar  fenômenos  naturais  e  processos  tecnológicos,  com  base  nas  interações  e  relações  entre matéria e energia, para propor ações individuais e coletivas que aperfeiçoem processos produtivos, minimizem impactos socioambientais e melhorem as condições de vida em âmbito local, regional e global.
2;BNCC_CompetenciaEspecifica;Analisar  e  utilizar  interpretações  sobre  a  dinâmica  da  Vida,  da  Terra  e  do  Cosmos  para  elaborar argumentos, realizar previsões sobre o funcionamento e a evolução dos seres vivos e do Universo, e fundamentar e defender decisões éticas e responsáveis.
3;BNCC_CompetenciaEspecifica;Investigar  situações-problema  e  avaliar  aplicações  do  conhecimento  científico  e  tecnológico  e  suas implicações no mundo, utilizando procedimentos e linguagens  próprios  das  Ciências  da  Natureza, para propor soluções que considerem demandas locais, regionais e/ou globais, e comunicar suas descobertas e conclusões a públicos variados, em diversos contextos e por meio de diferentes mídias e tecnologias digitais de informação e comunicação (TDIC).
