idCompetencia;codigoHabilidade
1;EM13LGG105
1;EM13LGG101
1;EM13LGG102
1;EM13LGG103
1;EM13LGG104
2;EM13LGG201
2;EM13LGG202
2;EM13LGG203
2;EM13LGG204
3;EM13LGG301
3;EM13LGG302
3;EM13LGG303
3;EM13LGG304
3;EM13LGG305
4;EM13LGG401
4;EM13LGG402
4;EM13LGG403
5;EM13LGG501
5;EM13LGG502
5;EM13LGG503
6;EM13LGG601
6;EM13LGG602
6;EM13LGG603
6;EM13LGG604
7;EM13LGG701
7;EM13LGG702
7;EM13LGG703
7;EM13LGG704
